Name,Varietal,Region,Price,Dosage,Online_Rating,Total_Ratings,sommelier_ratings
Aldo Conterno Granbussia Barolo Riserva 2012,Nebbiolo,"Barolo, Piedmont, Italy",929,750 ML,0.0,0 Ratings,
Bryant Family Bettina Proprietary Red 2014,Bordeaux Red Blends,"Napa Valley, California",499 97,750 ML,0.0,0 Ratings,JS 98 V 97 RP 93
Paco & Lola Albarino 2020,Albarino,"Rias Baixas, Spain",19 99,750 ML,4.1,71 Ratings,
Realm Cellars The Bard (1.5 Liter Magnum) 2019,Bordeaux Red Blends,"Napa Valley, California",349 97,1500 ML,0.0,0 Ratings,JD 99 JS 98 RP 97
Saracina Vineyards Unoaked Chardonnay 2019,Chardonnay,"Mendocino, California",19 99,750 ML,4.3,6 Ratings,WE 91 WW 91 WS 90 JD 90
Vocal Vineyards Alfaro Vineyard Gruner Veltliner 2018,Gruner Veltliner,"Santa Cruz Mountains, California",32 99,750 ML,3.9,32 Ratings,WE 93
Zinfandelic Sierra Foothills Old Vine Zinfandel 2017,Zinfandel,"Sierra Foothills, California",20,750 ML,3.7,270 Ratings,TP 91 WE 90
Meo-Camuzet Freres & Soeurs Marsannay 2019,Pinot Noir,"Marsannay, Cote de Nuits, Cote d'Or, Burgundy, France",69 99,750 ML,0.0,0 Ratings,
The Prisoner Wine Company Unshackled Rose 2019,Rosé,California,27,750 ML,4.0,110 Ratings,WW 91
St. Francis Merlot 2018,Merlot,"Sonoma County, California",17 99,750 ML,3.9,40 Ratings,WW 90
Cline Estate Chardonnay 2020,Chardonnay,"Sonoma Coast, Sonoma County, California",15,750 ML,0.0,0 Ratings,SJ 90
Terra d'Alter Red 2020,Other Red Blends,"Alentejo, Portugal",10 99,750 ML,0.0,0 Ratings,
Nicolas Badel Saint-Joseph Montrond 2018,Syrah/Shiraz,"Saint-Joseph, Rhone, France",37 99,750 ML,0.0,0 Ratings,
Carnivor Zinfandel 2019,Zinfandel,California,11 99,750 ML,4.1,8 Ratings,
Pewsey Vale Museum Reserve The Contours Riesling 2015,Riesling,"Eden Valley, Barossa, South Australia, Australia",36 99,750 ML,0.0,0 Ratings,JS 94
Robert Biale Vineyards Black Chicken Zinfandel 2020,Zinfandel,"Napa Valley, California",55,750 ML,0.0,0 Ratings,
Domaine Daniel Rion & Fils Echezeaux Grand Cru 2018,Pinot Noir,"Flagey-Echezeaux, Cote de Nuits, Cote d'Or, Burgundy, France",219 99,750 ML,0.0,0 Ratings,WS 95 JS 94
Clos Fourtet (Futures Pre-Sale) 2020,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",119 97,750 ML,0.0,0 Ratings,JD 99 RP 98 JS 96 D 96
Chateau Faugeres 2016,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",54 99,750 ML,4.4,18 Ratings,JS 95 WS 92 RP 92 JD 92 D 91
Brundlmayer Zweigelt Rose 2020,Rosé,"Kamptal, Austria",26,750 ML,0.0,0 Ratings,
Rhys Vineyards Horseshoe Vineyard Chardonnay (3 Liter - OWC) 2012,Chardonnay,"Santa Cruz Mountains, California",559 97,3000 ML,0.0,0 Ratings,RP 95 V 95
Domaine Rolet Arbois Vieilles Vignes Poulsard 2018,Poulsard,"Jura, France",28,750 ML,3.5,12 Ratings,
Schrader Collection Pack P1 (5 bottles in OWC) 2019,Cabernet Sauvignon,"Rutherford, Napa Valley, California","1,899 97",750 ML,0.0,0 Ratings,RP 99
Belle Glos Eulenloch Pinot Noir 2018,Pinot Noir,"Napa Valley, California",57 99,750 ML,0.0,0 Ratings,
Bremerton Wines Matilda Plains Red Blend 2018,Other Red Blends,"South Australia, Australia",14 99,750 ML,0.0,0 Ratings,
Riedel Tyrol Decanter,,,524 97,0 ML,0.0,0 Ratings,
Spy Valley Envoy Johnson Vineyard Sauvignon Blanc 2016,Sauvignon Blanc,"Marlborough, New Zealand",38 99,750 ML,0.0,0 Ratings,JS 93
Chateau Montelena Napa Valley Chardonnay 2019,Chardonnay,"Napa Valley, California",58 99,750 ML,3.1,7 Ratings,
Domaine Louis Michel et Fils Chablis Vaudesir Grand Cru 2019,Chardonnay,"Chablis, Burgundy, France",89 99,750 ML,0.0,0 Ratings,RP 94 JM 94 BH 94 WS 92
LTL by Upchurch Vineyards Cabernet Sauvignon 2019,Cabernet Sauvignon,"Red Mountain, Yakima Valley, Columbia Valley, Washington",31 99,750 ML,0.0,0 Ratings,
90 Point Prosecco & Rewined Candle Gift Set,,,59 99,0 ML,0.0,0 Ratings,
Vinaceous Reverend V Chardonnay 2016,Chardonnay,"Margaret River, Western Australia, Australia",24 99,750 ML,3.8,14 Ratings,W & S 91
Bodegas Riojanas Vina Albina Gran Reserva 2013,Tempranillo,"Rioja, Spain",44 99,750 ML,0.0,0 Ratings,D 93 JS 92
Argyle Pinot Noir Rose 2020,Rosé,"Willamette Valley, Oregon",30,750 ML,0.0,0 Ratings,
South American Wine Tour with Tasting Video,,,54 99,750 ML,0.0,0 Ratings,
Santa Carolina Reserva de Familia Cabernet Sauvignon 2018,Cabernet Sauvignon,"Maipo Valley, Chile",19 99,750 ML,3.6,5 Ratings,WS 91 RP 91 JS 90
Domaine Ponsot Morey-St-Denis Cuvee des Alouettes Premier Cru 2017,Pinot Noir,"Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",299 99,750 ML,0.0,0 Ratings,D 93 RP 92
Vignobles Bulliat Morgon Nature Gamay 2020,Gamay,"Beaujolais, Burgundy, France",26 99,750 ML,0.0,0 Ratings,
Liquid Farm Vogelzang Vineyard Rose 2021,Rosé,"Happy Canyon, Santa Barbara, Central Coast, California",28 99,750 ML,0.0,0 Ratings,
Deovlet Santa Barbara County Pinot Noir 2019,Pinot Noir,"Santa Barbara, Central Coast, California",49 99,750 ML,0.0,0 Ratings,V 93
Chateau de la Tour Clos Vougeot Grand Cru 2017,Pinot Noir,"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",300,750 ML,0.0,0 Ratings,WS 92 WE 92 BH 92
Ghostwriter Chardonnay 2019,Chardonnay,"Santa Cruz Mountains, California",29 99,750 ML,0.0,0 Ratings,
Highwayman Proprietary Red Blend 2018,Bordeaux Red Blends,"Sonoma County, California",48,750 ML,0.0,0 Ratings,
DeLoach Russian River Pinot Noir 2018,Pinot Noir,"Russian River, Sonoma County, California",23 99,750 ML,3.7,120 Ratings,WW 89
Alpha Omega Proprietary Red 2018,Bordeaux Red Blends,"Napa Valley, California",145 99,750 ML,0.0,0 Ratings,JS 93 JD 92 RP 92
Artesa Estate Pinot Noir 2017,Pinot Noir,"Carneros, California",45,750 ML,0.0,0 Ratings,WE 93 WS 90
Toscolo Chianti Classico 2018,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",22 99,750 ML,0.0,0 Ratings,JS 92
Folie a Deux Merlot 2018,Merlot,"Alexander Valley, Sonoma County, California",23 99,750 ML,0.0,0 Ratings,JS 91
Chemistry Pinot Noir 2018,Pinot Noir,"Willamette Valley, Oregon",18 99,750 ML,3.3,10 Ratings,JS 91
Chateau Faizeau Montagne-St.-Emilion 2018,Bordeaux Red Blends,"Bordeaux, France",22,750 ML,3.9,227 Ratings,JS 93 JD 91
Curran Grenache Rose 2020,Rosé,"Santa Ynez Valley, Santa Barbara, Central Coast, California",21 99,750 ML,0.0,0 Ratings,
Bouchard Pere & Fils Meursault Perrieres Premier Cru 1999,Chardonnay,"Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",139 97,750 ML,0.0,0 Ratings,ST 91 BH 90
Casas del Bosque Reserva Sauvignon Blanc 2020,Sauvignon Blanc,"Casablanca Valley, Chile",13 99,750 ML,3.7,38 Ratings,JS 90
Senses Terra de Promissio Pinot Noir 2018,Pinot Noir,"Sonoma Coast, Sonoma County, California",74 99,750 ML,0.0,0 Ratings,JD 95 RP 91
Rhys Vineyards Alpine Vineyard Pinot Noir (1.5 Liter Magnum) 2012,Pinot Noir,"Santa Cruz Mountains, California",279 97,1500 ML,0.0,0 Ratings,RP 93
Domaine Fabien Trosset Arbin Mondeuse Hors Piste 2019,Mondeuse,"Savoie, France",19 99,750 ML,0.0,0 Ratings,
Fattoria del Cerro Chianti Colli Senesi 2019,Sangiovese,"Chianti, Tuscany, Italy",12 99,750 ML,3.8,18 Ratings,
Force Majeure Parabellum Alluvio 2019,Bordeaux Red Blends,"Red Mountain, Yakima Valley, Columbia Valley, Washington",61 99,750 ML,0.0,0 Ratings,JD 95
Carpe Diem Pinot Noir 2017,Pinot Noir,"Anderson Valley, Mendocino, California",26 99,750 ML,3.7,20 Ratings,WW 91
Domaine Bernard Moreau Bourgogne Blanc 2018,Chardonnay,"Cote d'Or, Burgundy, France",45 99,750 ML,0.0,0 Ratings,V 90
Ridge Monte Bello 2013,Bordeaux Red Blends,"Santa Cruz Mountains, California",499 97,750 ML,4.9,8 Ratings,RP 100 WW 100 D 100 W & S 94 WS 91
Fresh Vine Cabernet Sauvignon 2020,Cabernet Sauvignon,California,21 99,750 ML,0.0,0 Ratings,
Clos du Bois California Merlot 2019,Merlot,California,11 99,750 ML,0.0,0 Ratings,
Donnafugata Mille e una Notte 2017,Nero d'Avola,"Sicily, Italy",85 99,750 ML,4.9,23 Ratings,JS 94 RP 93
Fontanafredda Serralunga d'Alba Barolo 2016,Nebbiolo,"Barolo, Piedmont, Italy",54,750 ML,3.9,8 Ratings,JS 93 WE 92 D 92 W & S 90
Weinert Estate Malbec 2010,Malbec,"Mendoza, Argentina",31 99,750 ML,4.4,7 Ratings,
Chateau Haut-Bailly (3 Liter Bottle Futures Pre-Sale) 2020,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",589 97,3000 ML,0.0,0 Ratings,JS 100 RP 98 JD 98 WE 98 D 96
Donna Olimpia 1898 Tageto 2019,Bordeaux Red Blends,"Tuscany, Italy",21 99,750 ML,0.0,0 Ratings,JS 91
St. Innocent Freedom Hill Chardonnay 2018,Chardonnay,"Eola-Amity Hills, Willamette Valley, Oregon",35 99,750 ML,0.0,0 Ratings,
J. Lohr Signature Cabernet Sauvignon 2017,Cabernet Sauvignon,"Paso Robles, Central Coast, California",99 99,750 ML,4.6,5 Ratings,WE 95 JD 93
Parducci Small Lot Pinot Noir 2020,Pinot Noir,California,18,750 ML,3.8,38 Ratings,WE 92
Lake Sonoma Winery Alexander Valley Cabernet Sauvignon 2017,Cabernet Sauvignon,"Alexander Valley, Sonoma County, California",27 99,750 ML,3.9,24 Ratings,WW 90
Bodegas Vega Sicilia Valbuena 5 2015,Tempranillo,"Ribera del Duero, Spain",215,750 ML,4.6,26 Ratings,JS 97 RP 96 W & S 94 WS 94
Albino Rocca Barbaresco Ronchi (slightly stained label) 1998,Nebbiolo,"Barbaresco, Piedmont, Italy",119 97,750 ML,0.0,0 Ratings,RP 90
Champagne Serge Mathieu Brut Cuvee Prestige,Non-Vintage Sparkling Wine,"Champagne, France",51 99,750 ML,0.0,0 Ratings,WW 92 WE 91
Cellar No. 8 Cabernet Sauvignon 2017,Cabernet Sauvignon,California,9 99,750 ML,0.0,0 Ratings,
Guenoc California Petite Sirah 2019,Petite Sirah,California,8 99,750 ML,3.4,5 Ratings,
Semeli Mantinia 2020,Other White Wine,"Other Peloponnese, Greece",23 99,750 ML,0.0,0 Ratings,
Louis Guntrum Rheinhessen Dry Riesling 2019,Riesling,"Rheinhessen, Germany",16 99,750 ML,0.0,0 Ratings,
La Quintinye Vermouth Royal Rouge Vermouth (375ml half-bottle),Vermouth,France,19 99,375 ML,0.0,0 Ratings,
Lucien Crochet Le Chene Marchand Sancerre 2019,Sauvignon Blanc,"Sancerre, Loire, France",48 99,750 ML,0.0,0 Ratings,
Fort Ross Vineyard Chardonnay 2018,Chardonnay,"Fort Ross-Seaview, Sonoma Coast, Sonoma County, California",45,750 ML,0.0,0 Ratings,WE 93 RP 92 WS 92 JD 91
Maison Robert Olivier Alsace Blanc 2020,Other White Blends,"Alsace, France",19 99,750 ML,5.0,8 Ratings,
Clos Canarelli Corse Figari Blanc 2019,Vermentino,"Corsica, France",55 99,750 ML,0.0,0 Ratings,
Shafer One Point Five Cabernet Sauvignon (375ML half-bottle) 2019,Cabernet Sauvignon,"Stags Leap District, Napa Valley, California",71 99,375 ML,0.0,0 Ratings,
Jaboulet Hermitage La Maison Bleue 2019,Syrah/Shiraz,"Hermitage, Rhone, France",74 99,750 ML,0.0,0 Ratings,RP 96 JD 96 JS 93
Joseph Drouhin Pouilly-Fuisse (375ML half-bottle) 2019,Chardonnay,"Pouilly-Fuisse, Maconnais, Burgundy, France",19 99,375 ML,0.0,0 Ratings,
Pikes The Merle Riesling 2017,Riesling,"Clare Valley, South Australia, Australia",47 99,750 ML,0.0,0 Ratings,
Familia Torres Salmos 2017,Other Red Blends,"Priorat, Spain",39 99,750 ML,4.2,14 Ratings,JS 93 RP 90
Domaine Carneros Cuvee de la Pompadour Brut Rose,Sparkling Rosé,"Carneros, California",44,750 ML,4.6,233 Ratings,WE 95 JS 94 WW 93 WS 92 WE 92 CG 91 W & S 90
Domaine Girard Pays d'Oc Chardonnay 2018,Chardonnay,"Pays d’Oc, South of France, France",17,750 ML,0.0,0 Ratings,
Maison Roche de Bellene Chambolle-Musigny Vieilles Vignes 2019,Pinot Noir,"Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",109 99,750 ML,0.0,0 Ratings,BH 91
Pride Mountain Vineyards Reserve Cabernet Sauvignon (1.5 Liter Magnum) 2004,Cabernet Sauvignon,"St. Helena, Napa Valley, California",369 97,1500 ML,0.0,0 Ratings,RP 96 WE 95 CG 94
Bodegas Santalba Ermita de San Felices Crianza 2015,Tempranillo,"Rioja, Spain",10 99,750 ML,0.0,0 Ratings,
Finca Torremilanos Penalba Lopez Blanco 2019,Other White Blends,Spain,25,750 ML,0.0,0 Ratings,RP 92
Poundstone Sangiacomo Vineyard Chardonnay 2016,Chardonnay,"Carneros, California",40,750 ML,0.0,0 Ratings,WE 90
Chateau Beau-Sejour Becot (Futures Pre-Sale) 2020,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",67 97,750 ML,0.0,0 Ratings,JS 97 RP 97 D 95
Champagne Pascal Doquet Arpege Blanc de Blancs Extra Brut,Non-Vintage Sparkling Wine,"Champagne, France",79 99,750 ML,0.0,0 Ratings,JS 91 WS 90
Philippe Colin Chassagne-Montrachet Les Chaumees Clos St Abdon (375ML half-bottle) 2018,Chardonnay,"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",69 99,375 ML,0.0,0 Ratings,WS 94
Sarah's Vineyard Dwarf Oak Santa Clara Valley Chardonnay 2018,Chardonnay,"Santa Clara Valley, San Francisco Bay, Central Coast, California",21 99,750 ML,0.0,0 Ratings,WE 92
Murrieta's Well Sauvignon Blanc 2020,Sauvignon Blanc,"Livermore Valley, Central Coast, California",26,750 ML,0.0,0 Ratings,
Antoine Sunier Regnie 2019,Gamay,"Beaujolais, Burgundy, France",29 99,750 ML,3.7,9 Ratings,V 92
Vaeni Naoussa Xinomavro 2018,Xinomavro,"Naoussa, Greece",13 99,750 ML,3.6,5 Ratings,
LaRue Thorn Ridge Vineyard Pinot Noir 2016,Pinot Noir,"Sonoma Coast, Sonoma County, California",74 99,750 ML,0.0,0 Ratings,WE 95
Kosta Browne One Sixteen Chardonnay 2020,Chardonnay,"Russian River, Sonoma County, California",95 99,750 ML,0.0,0 Ratings,
Domaine Bruno Clavelier Vosne-Romanee La Combe Brulee Vieilles Vignes 2012,Pinot Noir,"Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France",145 97,750 ML,0.0,0 Ratings,
Lewis Cellars Alec's Blend Red 2019,Other Red Blends,"Napa Valley, California",64 99,750 ML,0.0,0 Ratings,
Nickel & Nickel Dogleg Cabernet Sauvignon 2018,Cabernet Sauvignon,"St. Helena, Napa Valley, California",125,750 ML,0.0,0 Ratings,WW 92
David & Nadia Aristargos 2016,Other White Blends,"Swartland, South Africa",36 99,750 ML,4.0,8 Ratings,RP 92
Abbazia di Novacella Kerner 2020,Other White Wine,"Trentino-Alto Adige, Italy",20 99,750 ML,4.0,63 Ratings,JS 93
Broadley Estate Pinot Noir 2019,Pinot Noir,"Willamette Valley, Oregon",31 99,750 ML,0.0,0 Ratings,
Tablas Creek Esprit de Tablas Rouge 2019,Rhone Red Blends,"Adelaida District, Paso Robles, Central Coast, California",61 99,750 ML,0.0,0 Ratings,WE 93 W & S 92 RP 90
Lombardo Ambra Sweet Marsala,Marsala,Italy,11 99,750 ML,0.0,0 Ratings,
Craggy Range Winery Te Muna Road Vineyard Sauvignon Blanc 2021,Sauvignon Blanc,"Martinborough, New Zealand",23 99,750 ML,4.3,15 Ratings,
Ramble Buddha's Dharma Vineyard Valdiguie Rose 2020,Rosé,"Mendocino, California",24 99,750 ML,0.0,0 Ratings,TP 93
Tyrrell's Vat 47 Chardonnay 2018,Chardonnay,"Hunter Valley, New South Wales, Australia",58 99,750 ML,0.0,0 Ratings,JS 93
Wente Louis Mel Sauvignon Blanc 2021,Sauvignon Blanc,"Livermore Valley, Central Coast, California",17 99,750 ML,0.0,0 Ratings,
Louis Jadot Chassagne-Montrachet Domaine du Duc de Magenta Morgeot Premier Cru 2019,Chardonnay,"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",105,750 ML,0.0,0 Ratings,
Kale Kick Ranch Vineyard Home Run Cuvee 2014,Rhone Red Blends,"Fountaingrove District, Sonoma County, California",49,750 ML,0.0,0 Ratings,WW 90
Roscato Rosso Dolce Sweet Red,Non-Vintage Sparkling Wine,"Lombardy, Italy",15,750 ML,4.6,1231 Ratings,
Jim Barry The Barry Bros Red Blend 2016,Other Red Blends,"Clare Valley, South Australia, Australia",21 99,750 ML,3.6,13 Ratings,
Domaine de Montille Chassagne-Montrachet 2018,Chardonnay,"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",89 99,750 ML,0.0,0 Ratings,BH 91
Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon 2016,Cabernet Sauvignon,"Oakville, Napa Valley, California",175,750 ML,4.2,192 Ratings,TP 99 RP 96 JS 96 JD 96 WS 93 WE 91
Weingut Spreitzer Rosengarten Riesling Grosses Gewachs 2019,Riesling,"Rheingau, Germany",65 99,750 ML,0.0,0 Ratings,JS 94
Albert Boxler Pinot Gris 2018,Pinot Gris/Grigio,"Alsace, France",49 99,750 ML,0.0,0 Ratings,
Domaine Rouge-Bleu Le Vendangeur Cotes du Rhone Villages 2014,Rhone Red Blends,"Cotes du Rhone Villages, Rhone, France",26 99,750 ML,0.0,0 Ratings,
Hiedler Thal Gruner Veltliner 2019,Gruner Veltliner,"Kamptal, Austria",27 99,750 ML,0.0,0 Ratings,JS 92
Sine Qua Non Patine Grenache Eleven Confessions Vineyard 2011,Grenache,"Sta. Rita Hills, Santa Barbara, Central Coast, California",499 97,750 ML,0.0,0 Ratings,RP 97 V 97
Chateau La Mondotte 2018,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",249 99,750 ML,0.0,0 Ratings,JS 98 RP 97 WS 96 JD 96 D 93
Soumah Single Vineyard Pinot Noir 2018,Pinot Noir,"Yarra Valley, Victoria, Australia",32 99,750 ML,4.3,15 Ratings,JS 92
Adelaida Estate Pinot Noir 2019,Pinot Noir,"Adelaida District, Paso Robles, Central Coast, California",36 99,750 ML,0.0,0 Ratings,
MacRostie Wildcat Mountain Vineyard Pinot Noir 2019,Pinot Noir,"Sonoma Coast, Sonoma County, California",53 99,750 ML,0.0,0 Ratings,WS 91
Ruca Malen Malbec 2018,Malbec,"Mendoza, Argentina",14 99,750 ML,3.4,11 Ratings,
Long Meadow Ranch Cabernet Sauvignon (1.5 Liter Magnum) 2013,Cabernet Sauvignon,"Napa Valley, California",119 99,1500 ML,0.0,0 Ratings,JS 93 D 93
Ehlers Estate Portrait Red Blend 2016,Bordeaux Red Blends,"St. Helena, Napa Valley, California",64 99,750 ML,4.1,5 Ratings,WS 92
Taste the Côtes du Rhône with Tasting Video,,,69 99,750 ML,0.0,0 Ratings,
Lavau Chateauneuf-du-Pape 2019,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",37 99,750 ML,0.0,0 Ratings,JS 92 D 91 JD 90
Henry's Drive Magnus Shiraz 2017,Syrah/Shiraz,"Padthaway, South Australia, Australia",52 99,750 ML,0.0,0 Ratings,
Rene Rostaing Cote-Rotie Cote Blonde 2003,Syrah/Shiraz,"Cote Rotie, Rhone, France",289 97,750 ML,0.0,0 Ratings,RP 97 WS 96
Vinoce Sauvignon Blanc 2020,Sauvignon Blanc,"Napa Valley, California",33,750 ML,0.0,0 Ratings,
El Enemigo Bonarda 2017,Bonarda,"Mendoza, Argentina",24 99,750 ML,3.9,64 Ratings,WE 93 RP 90
Philippe Pacalet Moulin-a-Vent 2016,Gamay,"Beaujolais, Burgundy, France",74 99,750 ML,0.0,0 Ratings,WS 92
Domaine De Cala Coteaux Varois en Provence Rose Classic 2020,Rosé,"Provence, South of France, France",22,750 ML,0.0,0 Ratings,V 91 RP 90 TP 90
PlumpJack Oakville Estate Cabernet Sauvignon 2018,Cabernet Sauvignon,"Oakville, Napa Valley, California",159 99,750 ML,4.2,12 Ratings,RP 94 JD 94 WS 93
Eberle Chardonnay 2020,Chardonnay,"Paso Robles, Central Coast, California",23 99,750 ML,0.0,0 Ratings,
Niepoort Vintage Port (1.5L Magnum) 2015,Port,Portugal,195 99,1500 ML,0.0,0 Ratings,RP 96 JS 95 WS 93
Thomas Labille Chablis Vaillons Premier Cru 2019,Chardonnay,"Chablis, Burgundy, France",33 99,750 ML,0.0,0 Ratings,WE 91
3 Girls The Mediator Chardonnay 2018,Chardonnay,"Lodi, California",13 99,750 ML,0.0,0 Ratings,
Torre de Ona by La Rioja Alta Reserva Finca Martelo 2014,Tempranillo,"Rioja, Spain",45,750 ML,4.2,103 Ratings,RP 94 WS 92 JS 91
Colosi Nero d'Avola 2020,Nero d'Avola,"Sicily, Italy",13 99,750 ML,3.8,18 Ratings,
Chateau Duhart-Milon (Futures Pre-Sale) 2020,Bordeaux Red Blends,"Pauillac, Bordeaux, France",81 97,750 ML,0.0,0 Ratings,JS 96 JD 96 D 95 RP 93
K Vintners Broncho Malbec 2016,Malbec,Washington,69 99,750 ML,4.6,14 Ratings,JD 95 JS 92
